"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"6001","","Napoli Porta Nolana","40.8492","14.2693","","","","","",""
"6003","","Napoli P. Garibaldi","40.851","14.273","","","","","",""
"6004","","Via Gianturco","40.8459","14.2873","","","","","",""
"6005","","S. Giovanni a Teduccio","40.8417","14.3002","","","","","",""
"6006","","Barra","40.844","14.3143","","","","","",""
"6007","","Ponticelli","40.851","14.3333","","","","","",""
"6008","","Cercola","40.8563","14.3553","","","","","",""
"6009","","Pollena Trocchia","40.8598","14.3802","","","","","",""
"6010","","Guindazzi","40.8622","14.3843","","","","","",""
"6011","","Madonna dell'Arco","40.8674","14.3894","","","","","",""
"6012","","S. Anastasia","40.8701","14.4003","","","","","",""
"6013","","Villa Augustea","40.8733","14.4263","","","","","",""
"6014","","Somma Vesuviana","40.8741","14.4384","","","","","",""
"6015","","Rione Trieste","40.8703","14.4613","","","","","",""
"6016","","Ottaviano","40.8529","14.4806","","","","","",""
"6017","","S. Leonardo","40.843","14.4924","","","","","",""
"6018","","S. Giuseppe","40.8374","14.5012","","","","","",""
"6019","","Casilli","40.8263","14.5003","","","","","",""
"6020","","Terzigno","40.8142","14.4973","","","","","",""
"6021","","Flocco","40.8035","14.5322","","","","","",""
"6022","","Poggiomarino","40.801","14.5401","","","","","",""
"6023","","Striano","40.8119","14.577","","","","","",""
"6024","","S. Valentino Torio","40.7971","14.6002","","","","","",""
"6025","","Sarno","40.8122","14.6185","","","","","",""
"6026","","S. Maria del Pozzo","40.8402","14.3275","","","","","",""
"6027","","S. Giorgio a Cremano","40.8327","14.3377","","","","","",""
"6028","","S. Giorgio Cavalli di Bronzo","40.8288","14.3407","","","","","",""
"6029","","Portici Bellavista","40.822","14.3437","","","","","",""
"6030","","Portici Via Liberta'","40.8168","14.3461","","","","","",""
"6031","","Ercolano Scavi","40.8089","14.3549","","","","","",""
"6032","","Ercolano Miglio d'Oro","40.8021","14.3613","","","","","",""
"6033","","Torre del Greco","40.7931","14.3699","","","","","",""
