"route_id","service_id","trip_id","trip_headsign","trip_short_name"
"1","1298274421","10549_1298274421","Torre del Greco","10549"
"1","-1890850101","1059_-1890850101","Sorrento","1059"
"1","-1890850101","1060_-1890850101","Napoli Porta Nolana","1060"
"1","1733213077","10600_1733213077","Napoli Porta Nolana","10600"
"1","1733213077","10601_1733213077","Sorrento","10601"
"1","1298274421","10613_1298274421","Torre del Greco","10613"
"1","1733213077","10628_1733213077","Napoli Porta Nolana","10628"
"1","-1890850101","1063_-1890850101","Sorrento","1063"
"1","1298274421","10636_1298274421","Napoli Porta Nolana","10636"
"1","1298274421","10637_1298274421","Torre del Greco","10637"
"1","1733213077","10639_1733213077","Sorrento","10639"
"1","-1890850101","1064_-1890850101","Napoli Porta Nolana","1064"
"1","-1688505247","10646_-1688505247","Napoli Porta Nolana","10646"
"1","-1890850101","10647_-1890850101","Sorrento","10647"
"1","1298274421","10648_1298274421","Napoli Porta Nolana","10648"
"1","327895744","10648_327895744","Napoli Porta Nolana","10648"
"1","1215900534","1068_1215900534","Napoli Porta Nolana","1068"
"1","1298274421","10700_1298274421","Napoli Porta Nolana","10700"
"1","1298274421","10701_1298274421","Torre del Greco","10701"
"1","1733213077","1071_1733213077","Sorrento","1071"
"1","-1890850101","1071_-1890850101","Sorrento","1071"
"1","-1890850101","1072_-1890850101","Napoli Porta Nolana","1072"
"1","1733213077","10722_1733213077","Napoli Porta Nolana","10722"
"1","1298274421","10724_1298274421","Napoli Porta Nolana","10724"
"1","1298274421","10725_1298274421","Torre del Greco","10725"
"1","1298274421","10748_1298274421","Napoli Porta Nolana","10748"
"1","1298274421","10749_1298274421","Torre del Greco","10749"
"1","-1890850101","1075_-1890850101","Sorrento","1075"
"1","1733213077","10754_1733213077","Napoli Porta Nolana","10754"
"1","-1890850101","10759_-1890850101","Sorrento","10759"
"1","-1890850101","1076_-1890850101","Napoli Porta Nolana","1076"
"1","-1890850101","1080_-1890850101","Napoli Porta Nolana","1080"
"1","1733213077","10811_1733213077","Sorrento","10811"
"1","1298274421","10812_1298274421","Napoli Porta Nolana","10812"
"1","1298274421","10813_1298274421","Torre del Greco","10813"
"1","1733213077","10826_1733213077","Napoli Porta Nolana","10826"
"1","1733213077","1083_1733213077","Sorrento","1083"
"1","-1890850101","1083_-1890850101","Sorrento","1083"
"1","1298274421","10836_1298274421","Napoli Porta Nolana","10836"
"1","-1890850101","1084_-1890850101","Napoli Porta Nolana","1084"
"1","-1890850101","1088_-1890850101","Napoli Porta Nolana","1088"
"1","1733213077","1090_1733213077","Napoli Porta Nolana","1090"
"1","1298274421","10900_1298274421","Napoli Porta Nolana","10900"
